step,loss,routing_entropy,n_dead,max_share,grad_norm
50,3.1813066005706787,2.0572760105133057,0,0.16076171875,0.8366032242774963
100,2.789238452911377,2.0771591663360596,0,0.13875,0.6839074492454529
150,2.702099084854126,2.0791471004486084,0,0.13208984375,0.6657391786575317
200,2.566340208053589,2.078801393508911,0,0.13267578125,0.730621874332428
250,2.375570058822632,2.0786099433898926,0,0.1346484375,0.8416935205459595
300,2.085759162902832,2.0788841247558594,0,0.13037109375,1.044979214668274
350,1.6215825080871582,2.0788440704345703,0,0.13052734375,1.2316780090332031
400,0.9385048747062683,2.0790419578552246,0,0.1287890625,1.2826441526412964
450,0.4885829985141754,2.0792064666748047,0,0.129375,1.0820543766021729
500,0.17689749598503113,2.07936692237854,0,0.12712890625,0.5700103640556335
